id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
133,Imp Head (Wolf),http://eldenring.wiki.fextralife.com/file/Elden-Ring/imp_head_(wolf)_elden_ring_wiki_guide_200px.png,"Head covering made from the largely unaltered head of an impish golem.Resembling a wolf, it holds trace amounts of lupine endurance.",helm,"[{'Phy': '5.8', 'VS Str.': '5.2', 'VS Sla.': '5.8', 'VS Pie.': '6.1', 'Mag': '5.0', 'Fir': '5.8', 'Lit': '4.8', 'Hol': '5.0'}]","[{'Imm.': '35', 'Rob.': '35', 'Foc.': '20', 'Vit.': '20', 'Poi.': '10'}]",8.1,+2 Endurance,Can be found in the Minor Erdtree Catacombs within Caelid on a body laying over a sarcophagus. Elden Ring Map here,4,0
134,Incantation Scarab,http://eldenring.wiki.fextralife.com/file/Elden-Ring/incantation_scarab_elden_ring_wiki_guide_200px.png,"Golden scarab worn directly on the head.These scarabs roll clumps of incantations during their labors.Slightly reduces the FP costs of incantations, but increases damage taken.As a scarab approaches death, it abandons its rolled treasure and stretches its wings wide for long journey to its home nest.",helm,"[{'Phy': '-5.82', 'VS Str.': '-5.6', 'VS Sla.': '-5.82', 'VS Pie.': '-5.82', 'Mag': '-4.94', 'Fir': '-4.94', 'Lit': '-4.94', 'Hol': '-5.05'}]","[{'Imm.': '42', 'Rob.': '22', 'Foc.': '27', 'Vit.': '26', 'Poi.': '6'}]",5.1,Reduces the FP cost of incantations by 15%. Increases damage taken by 5%,"Need to examine the Homing Instinct Painting at Artist's Shack first. The Incantation Scarab can be found Southwest of the Dragon-Burnt Ruins, there will be a gravestone with a ghost sitting in front of it. Interact with the ghost, and it will drop the Incantation Scarab. Elden Ring Map here",4,0
135,Iron Helmet,http://eldenring.wiki.fextralife.com/file/Elden-Ring/iron_helmet_elden_ring_wiki_guide_200px.png,An iron helmet showing rust on its edges. Cloth covering the mouth and neck provides some resistance to poison and other irritants.,helm,"[{'Phy': '4.4', 'VS Str.': '3.1', 'VS Sla.': '4.0', 'VS Pie.': '4.2', 'Mag': '2.5', 'Fir': '3.1', 'Lit': '2.3', 'Hol': '3.1'}]","[{'Imm.': '12', 'Rob.': '18', 'Foc.': '8', 'Vit.': '8', 'Poi.': '6'}]",3.8,,"Can be bought from the Nomadic Merchant at the eastern side of Weeping Peninsula, for 1500 Runes. Elden Ring Map here.",7,0
136,Iron Kasa,http://eldenring.wiki.fextralife.com/file/Elden-Ring/iron_kasa_elden_ring_wiki_guide_200px.png,"Iron kasa of the man who calls himself Shabriri.Crafted to imitate the woven straw hats worn in the Land of Reeds.The man, once known as Yura, kept a woman in the deepest reaches of his heart.",helm,"[{'Phy': '3.6', 'VS Str.': '3.6', 'VS Sla.': '4.2', 'VS Pie.': '3.6', 'Mag': '4.0', 'Fir': '4.2', 'Lit': '4.4', 'Hol': '4.0'}]","[{'Imm.': '30', 'Rob.': '23', 'Foc.': '24', 'Vit.': '24', 'Poi.': '6'}]",3.8,,Acquired by following Yura's questline. Elden Ring Map here,7,0
137,Jar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/jar_elden_ring_wiki_guide_200px.png,"Jar that fits cleanly over the head when upturned.Made with pride by Iron Fist Alexander.In a uniquely jarlike gesture of friendship, it boosts the power of throwing pot items.",helm,"[{'Phy': '6.8', 'VS Str.': '3.4', 'VS Sla.': '7.0', 'VS Pie.': '6.8', 'Mag': '4.7', 'Fir': '4.9', 'Lit': '4.6', 'Hol': '4.7'}]","[{'Imm.': '24', 'Rob.': '33', 'Foc.': '16', 'Vit.': '15', 'Poi.': '10'}]",6.8,Boosts the power of Cracked Pot and Ritual Pot consumables by 15%,Given to the player by Iron Fist Alexander. Follow his questline until you find him in Mt. Gelmir near Seethewater Terminus. Completing his dialogue here will award the player with the Jar. Elden Ring Map here,4,0
138,Juvenile Scholar Cap,http://eldenring.wiki.fextralife.com/file/Elden-Ring/juvenile_scholar_cap_elden_ring_wiki_guide_200px.png,"Cap worn by young academy scholars, the juveniles birthed anew by the amber egg of Queen Rennala, the head of Raya Lucaria Academy. Yet their rebirth is not without imperfections, and thus do they repeat the process, eventually becoming utterly dependent upon it. Rebirth is as sleep to them, and with each awakening, memory fades into oblivion.",helm,"[{'Phy': '1.4', 'VS Str.': '1.8', 'VS Sla.': '1.8', 'VS Pie.': '1.4', 'Mag': '4.5', 'Fir': '4.0', 'Lit': '4.2', 'Hol': '4.4'}]","[{'Imm.': '15', 'Rob.': '10', 'Foc.': '26', 'Vit.': '29', 'Poi.': '2'}]",1.4,,The entire Juvenile Scholar Set and a Larval Tear is obtained by completing the Resurrection Painting puzzle. Elden Ring Map here,2,0
139,Kaiden Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kaiden_helm_elden_ring_wiki_guide_200px.png,"Helm worn by Kaiden sellswords. These hulking, fearless mercenaries, said to hail from the mountaintops of the wintry north, are adept at fighting on horseback. Kaiden is the name of their home settlement.",helm,"[{'Phy': '4.4', 'VS Str.': '3.4', 'VS Sla.': '4.4', 'VS Pie.': '4.4', 'Mag': '3.1', 'Fir': '3.4', 'Lit': '2.8', 'Hol': '3.1'}]","[{'Imm.': '12', 'Rob.': '22', 'Foc.': '9', 'Vit.': '9', 'Poi.': '7'}]",4.0,,Drops from Kaiden Sellsword enemies. They can be found east of Limgrave's lake.,7,0
140,Karolos Glintstone Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/karolos_glintstone_crown_elden_ring_wiki_guide_200px.png,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence to the detriment of stamina. The Karolos Conspectus is the oldest of the academy's lineages of study, begat by the sorcerer Azur. Scholars who follow in his footsteps pursue the mysteries of comets.",helm,"[{'Phy': '4.4', 'VS Str.': '3.1', 'VS Sla.': '5.2', 'VS Pie.': '4.8', 'Mag': '4.4', 'Fir': '4.5', 'Lit': '3.4', 'Hol': '3.8'}]","[{'Imm.': '16', 'Rob.': '26', 'Foc.': '10', 'Vit.': '10', 'Poi.': '6'}]",5.1,+3 Intelligence. Reduces max Stamina by 9%,"From the Debate Parlor Site of Grace in Raya Lucaria Academy, head out the door and hug the western wall, ignoring the broken staircase or any open doorways. A crystal crab is hiding in the corner near the cliff edge. Elden Ring Map here",2,0
141,Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/knight_helm_elden_ring_wiki_guide_200px.png,"Iron helm of an unknown knight. It is made of thin iron plate. Such metal armor is heavy, but provides considerable damage negation.",helm,"[{'Phy': '4.4', 'VS Str.': '4.2', 'VS Sla.': '4.8', 'VS Pie.': '4.8', 'Mag': '3.8', 'Fir': '3.8', 'Lit': '3.4', 'Hol': '3.1'}]","[{'Imm.': '12', 'Rob.': '22', 'Foc.': '8', 'Vit.': '8', 'Poi.': '8'}]",4.6,,"Can be purchased from Enia at the Roundtable Hold for 3,000 Runes.",8,0
142,Land of Reeds Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/land_of_reeds_helm_elden_ring_wiki_guide_200px.png,"Helm made from strips of iron fastened together. Worn by warriors of the Land of Reeds. The Land of Reeds has long been locked in a miserable civil war, during which time it has remained alienated from the cultures of its neighbors. Little wonder that the entire nation has succumbed to blood-soaked madness, or so it is said.",helm,"[{'Phy': '3.1', 'VS Str.': '3.4', 'VS Sla.': '4.8', 'VS Pie.': '3.4', 'Mag': '3.6', 'Fir': '4.0', 'Lit': '4.2', 'Hol': '3.8'}]","[{'Imm.': '26', 'Rob.': '22', 'Foc.': '22', 'Vit.': '23', 'Poi.': '5'}]",3.6,,"Starting Equipment for the Samurai Class.Sold by Isolated Merchant Dragonbarrow for 1,000 Runes. Elden Ring Map here",7,0
143,Lazuli Glintstone Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lazuli_glintstone_crown_elden_ring_wiki_guide_200px.png,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.Increases intelligence and dexterity to the detriment of HP.Scholars of the Lazuli Conspectus study Carian sorceries - a heterodox pursuit that views the moon as equal to the stars.,helm,"[{'Phy': '4.4', 'VS Str.': '3.1', 'VS Sla.': '5.2', 'VS Pie.': '4.8', 'Mag': '4.4', 'Fir': '4.5', 'Lit': '3.4', 'Hol': '3.8'}]","[{'Imm.': '16', 'Rob.': '26', 'Foc.': '10', 'Vit.': '10', 'Poi.': '6'}]",5.1,"+3 Intelligence, +3 Dexterity. Reduces HP by 18%",See the location on the Elden Ring Map here.Found at Raya Lucaria Academy.,2,0
144,Leyndell Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leyndell_knight_helm_elden_ring_wiki_guide_200px.png,Helm worn by knights sworn to defend the royal capital of Leyndell.The golden canopy represents the honor of standing among the tree's defenders.,helm,"[{'Phy': '4.8', 'VS Str.': '4.4', 'VS Sla.': '4.8', 'VS Pie.': '4.8', 'Mag': '3.6', 'Fir': '4.0', 'Lit': '3.6', 'Hol': '3.8'}]","[{'Imm.': '15', 'Rob.': '24', 'Foc.': '10', 'Vit.': '10', 'Poi.': '8'}]",5.1,,"Chance to drop from Leyndell Knights encountered in Leyndell, Royal Capital.",8,0
145,Leyndell Soldier Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leyndell_soldier_helm_elden_ring_wiki_guide_200px.png,"Helm worn by soldiers sworn to defend the royal capital of Leyndell.Made from durable iron, layered with a chainmail coif beneath.",helm,"[{'Phy': '4.4', 'VS Str.': '3.8', 'VS Sla.': '4.2', 'VS Pie.': '4.4', 'Mag': '2.8', 'Fir': '3.4', 'Lit': '2.8', 'Hol': '3.1'}]","[{'Imm.': '12', 'Rob.': '22', 'Foc.': '9', 'Vit.': '9', 'Poi.': '7'}]",4.0,,"This helm and other pieces of the Leyndell Soldier Set can be looted as drops from the foot soldiers scattered around Altus Plateau, and Leyndell, Royal Capital.",7,0
146,Lionel's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lionels_helm_elden_ring_wiki_guide_200px.png,"Round iron helm with a distinctive large brim. Worn by Lionel the Lionhearted. When this chivalrous dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.",helm,"[{'Phy': '6.3', 'VS Str.': '5.9', 'VS Sla.': '7.0', 'VS Pie.': '7.2', 'Mag': '4.8', 'Fir': '5.3', 'Lit': '4.6', 'Hol': '4.8'}]","[{'Imm.': '27', 'Rob.': '42', 'Foc.': '18', 'Vit.': '22', 'Poi.': '13'}]",9.1,,"Lionel's Armor Set is found on the bed in the building with the Lower Capital Church grace in Leyndell, Royal Capital. See it on the Elden Ring Map here.",11,0
147,Lusat's Glintstone Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lusats_glintstone_crown_elden_ring_wiki_guide_200px.png,"The giant blue glintstone crown worn by Lusat, primeval current sorcerer.This crown replaced Lusat's brain and skull altogether, and now, removed from his body, it is all but dead. What power remains within raises the potency of Lusat's primeval current sorceries at the cost of additional FP consumption.",helm,"[{'Phy': '3.1', 'VS Str.': '2.3', 'VS Sla.': '3.1', 'VS Pie.': '2.3', 'Mag': '5.5', 'Fir': '4.6', 'Lit': '4.8', 'Hol': '4.9'}]","[{'Imm.': '23', 'Rob.': '11', 'Foc.': '39', 'Vit.': '44', 'Poi.': '4'}]",3.6,"Increases the damage of Stars of Ruin by 15%, and Star Shower and Glintstone Stars by 10%. Increases FP consumption from sorceries by 15%.","Lusat's Glintstone Crown can be found after completing Sorceress Sellen's Questline, return to Lusat's location in the Sellia Hideaway. The legwraps will be there, along with the rest of his set for the taking. Elden Ring Map here",2,0
148,Malenia's Winged Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/malenias_winged_helm_elden_ring_wiki_guide_200px.png,"Winged helm made of unalloyed gold.Worn by Malenia, Blade of Miquella.Malenia awaited Miquella at the foot of the husk.My brother will keep his promise. He possesses the wisdom, the allure, of a god he is the most fearsome Empyrean of all.",helm,"[{'Phy': '4.4', 'VS Str.': '3.4', 'VS Sla.': '4.6', 'VS Pie.': '4.0', 'Mag': '2.8', 'Fir': '3.4', 'Lit': '2.3', 'Hol': '3.8'}]","[{'Imm.': '22', 'Rob.': '18', 'Foc.': '8', 'Vit.': '8', 'Poi.': '6'}]",4.0,,"Purchased from Enia for 12,000 runes after defeating Malenia Blade of Miquella",7,0
149,Malformed Dragon Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/malformed_dragon_helm_elden_ring_wiki_guide_200px.png,"A malformed golden helm. Adorned with various dragon imagery and worn by the misshapen Tree Sentinels. After the great ancient dragon Gransax attacked, the sentinels had an epiphany. The only way to truly protect the Erdtree was to become dragons themselves",helm,"[{'Phy': '6.1', 'VS Str.': '5.4', 'VS Sla.': '6.3', 'VS Pie.': '6.1', 'Mag': '4.6', 'Fir': '4.6', 'Lit': '4.9', 'Hol': '4.6'}]","[{'Imm.': '24', 'Rob.': '33', 'Foc.': '16', 'Vit.': '16', 'Poi.': '10'}]",6.8,,Dropped by the Draconic Tree Sentinel in Crumbling Farum Azula. Elden Ring Map here,10,0
150,Maliketh's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/malikeths_helm_elden_ring_wiki_guide_200px.png,"Beast's helm made of black iron and decorated with gold. Worn by Maliketh the Black Blade.Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions",helm,"[{'Phy': '4.8', 'VS Str.': '4.2', 'VS Sla.': '5.0', 'VS Pie.': '4.8', 'Mag': '3.8', 'Fir': '4.0', 'Lit': '3.4', 'Hol': '4.6'}]","[{'Imm.': '15', 'Rob.': '24', 'Foc.': '10', 'Vit.': '22', 'Poi.': '8'}]",5.5,,"Bought from the Enia in the Roundtable Hold after defeating Maliketh, the Black Blade.",9,0
151,Marais Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/marais_mask_elden_ring_wiki_guide_200px.png,"Mask in the image of a white-haired young noble. Customarily worn by the head of House Marais. Increases arcane. The Marais family has a dual history spanning generations, serving as both executioners and castellans of the Shaded Castle. This mask bears the likeness of the first of their line.",helm,"[{'Phy': '2.1', 'VS Str.': '2.3', 'VS Sla.': '1.8', 'VS Pie.': '1.4', 'Mag': '4.6', 'Fir': '4.5', 'Lit': '4.5', 'Hol': '4.6'}]","[{'Imm.': '20', 'Rob.': '14', 'Foc.': '35', 'Vit.': '33', 'Poi.': '4'}]",2.2,+1 Arcane,"Dropped by Maleigh Marais, Shaded Castle Castellan, a hostile NPC found in the fields west of The Shaded Castle. Elden Ring Map here",3,0
152,Marionette Soldier Birdhelm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/marionette_soldier_birdhelm_elden_ring_wiki_guide_200px.png,"Metal helm formed in the likeness of the face of a bird.Worn by avionette soldiers, crafted to serve the sorcerers.The construction of this helm is remarkably crude.For a doll, the only thing that matters is that it does not break.",helm,"[{'Phy': '4.4', 'VS Str.': '3.1', 'VS Sla.': '4.0', 'VS Pie.': '3.8', 'Mag': '3.1', 'Fir': '3.1', 'Lit': '2.5', 'Hol': '2.5'}]","[{'Imm.': '11', 'Rob.': '18', 'Foc.': '8', 'Vit.': '9', 'Poi.': '6'}]",3.8,,Dropped from winged Marionette Soldiers.,7,0
153,Marionette Soldier Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/helmet_picture.jpg,"Cylindrical helm of plate metal reinforced with a lattice. Worn by marionette soldiers, crafted to serve the sorcerers.The construction of this helm is remarkably crude.For a doll, the only thing that matters is that it does not break.",helm,"[{'Phy': '4.4', 'VS Str.': '3.1', 'VS Sla.': '4.0', 'VS Pie.': '3.8', 'Mag': '3.1', 'Fir': '3.1', 'Lit': '2.3', 'Hol': '3.1'}]","[{'Imm.': '10', 'Rob.': '22', 'Foc.': '9', 'Vit.': '8', 'Poi.': '6'}]",3.8,,Drops from Marionette Soldiers often found at Liurnia of the Lakes or Mt. Gelmir.,7,0
154,Mask of Confidence,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mask_of_confidence_elden_ring_wiki_guide_200px.png,"Mask with the mouth sewn shut with gold thread. Increases arcane. When Radagon married Rennala, he ordered the Carian magic preceptors to don these masks. To make it clear that all of their matters were to be kept strictly private.",helm,"[{'Phy': '2.3', 'VS Str.': '2.5', 'VS Sla.': '2.3', 'VS Pie.': '2.3', 'Mag': '5.3', 'Fir': '4.8', 'Lit': '4.7', 'Hol': '4.7'}]","[{'Imm.': '24', 'Rob.': '11', 'Foc.': '39', 'Vit.': '35', 'Poi.': '5'}]",3.3,+3 Arcane,Found on a corpse laying on the walls of the secret area of the Carian Study Hall unlocked using the Carian Inverted Statue. Elden Ring Map here,2,0
155,Mushroom Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mushroom_crown_elden_ring_wiki_guide_200px.png,"Mushrooms found growing all over the body. These overgrown mushrooms form a towering headpiece. Raises attack power when something nearby suffers from poison or rot. Long ago, great lords served the scarlet rot. Perhaps such fungal bodies served as their crowns.",helm,"[{'Phy': '5.8', 'VS Str.': '5.9', 'VS Sla.': '6.8', 'VS Pie.': '7.0', 'Mag': '4.8', 'Fir': '3.1', 'Lit': '4.6', 'Hol': '4.8'}]","[{'Imm.': '46', 'Rob.': '45', 'Foc.': '18', 'Vit.': '22', 'Poi.': '10'}]",9.1,Raises attack power (+10% AR for 20 seconds) when something nearby suffers from poison or rot.,Found on a corpse hanging off of a pillar ruin in the south-eastern corner of Lake of Rot. Climb around the outside of the ruin to reach it. Elden Ring Map here,1,0
156,Mushroom Head,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mushroom_head_elden_ring_wiki_guide_200px.png,"Mushrooms found growing all over the body. These overgrown mushroom have colonized the head. To those enraptured by the scarlet rot, they are holy vestments that root one to the earth.",helm,"[{'Phy': '2.1', 'VS Str.': '2.5', 'VS Sla.': '0.9', 'VS Pie.': '1.8', 'Mag': '4.7', 'Fir': '1.8', 'Lit': '4.6', 'Hol': '4.6'}]","[{'Imm.': '44', 'Rob.': '10', 'Foc.': '39', 'Vit.': '33', 'Poi.': '2'}]",2.2,,Found in a cavern in Seethewater Cave filled with mushroom people and a Giant Poison Flower. Elden Ring Map here,1,0
157,Navy Hood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/navy_hood_elden_ring_wiki_guide_200px.png,"A hooded cloak of deep navy. Worn by expatriated royalty. Increases mind. Such cloaks were gifted to those who departed on missions to faraway lands, from which they would never return. But what choice did they have, having seen the guidance of grace?",helm,"[{'Phy': '1.4', 'VS Str.': '2.1', 'VS Sla.': '1.8', 'VS Pie.': '0.9', 'Mag': '4.6', 'Fir': '4.7', 'Lit': '4.4', 'Hol': '4.5'}]","[{'Imm.': '20', 'Rob.': '10', 'Foc.': '29', 'Vit.': '27', 'Poi.': '3'}]",1.7,+1 Mind,"The Navy Hood along with other pieces of the Noble's Set can be found at East Windmill Pasture, Altus Plateau, in a burning pile of corpses surrounded by a circle of dancing women. Elden Ring Map here.",5,0
158,Night Maiden Twin Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/night_maiden_twin_crown_elden_ring_wiki_guide_200px.png,"Twin crowns worn by the nightmaidens of the Eternal City.Indicates the highest clerical rank, and hides the eyes with silk.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",helm,"[{'Phy': '2.5', 'VS Str.': '3.1', 'VS Sla.': '2.5', 'VS Pie.': '3.4', 'Mag': '4.2', 'Fir': '3.8', 'Lit': '4.0', 'Hol': '4.2'}]","[{'Imm.': '26', 'Rob.': '15', 'Foc.': '22', 'Vit.': '22', 'Poi.': '5'}]",3.3,,Pieces of the Night Maiden Set are dropped by Night Maiden enemies found in Nokron and Nokstella.Two can be found in the Night's Sacred Ground area in the church with the large Silver Tear Ball. Once this building's shortcut is opened these two can be easily farmed by resetting at the Night's Sacred Ground site of grace.,6,0
159,Night's Cavalry Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nights_cavalry_helm_elden_ring_wiki_guide_200px.png,"Pitch-black helm with flowing black hair.Worn by the Night's Cavalry who ride funeral steeds.The Night's Cavalry, who now wander the dim roads at night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",helm,"[{'Phy': '5.0', 'VS Str.': '4.6', 'VS Sla.': '5.0', 'VS Pie.': '4.8', 'Mag': '3.8', 'Fir': '4.5', 'Lit': '3.8', 'Hol': '4.5'}]","[{'Imm.': '16', 'Rob.': '24', 'Foc.': '10', 'Vit.': '10', 'Poi.': '8'}]",5.5,,"You can find the Night's Cavalry Set within the Consecrated Snowfield: From the Inner Consecrated Snowfield site of grace at night, look southwest and there will be a caravan being pulled by two giants and two Night's Cavalry escorts. Kill both the escorts to receive the armor alongside an Ancient Dragon Smithing Stone. See the location in the Elden Ring Map",10,0
160,Night's Cavalry Helm (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nights_cavalry_helm_(altered)_elden_ring_wiki_guide_200px.png,"Pitch-black helm thinly painted with dried blood.Worn by the Night's Cavalry who ride funeral steeds.The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",helm,"[{'Phy': '4.8', 'VS Str.': '4.4', 'VS Sla.': '4.8', 'VS Pie.': '4.4', 'Mag': '3.6', 'Fir': '4.4', 'Lit': '3.6', 'Hol': '4.4'}]","[{'Imm.': '13', 'Rob.': '21', 'Foc.': '9', 'Vit.': '9', 'Poi.': '8'}]",5.1,,"Boc the Seamster can alter the original Night's Cavalry Helm, if you have it in your possession.",10,0
161,Nomadic Merchant's Chapeau,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_merchants_chapeau_elden_ring_wiki_guide_200px.png,"Chapeau of the nomadic merchants.Decorated with tiny gems in a wide spectrum of colors.These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground.Then, they chanted a curse of despair, and summoned the flame of frenzy.",helm,"[{'Phy': '2.8', 'VS Str.': '3.1', 'VS Sla.': '2.5', 'VS Pie.': '2.3', 'Mag': '3.4', 'Fir': '3.4', 'Lit': '3.4', 'Hol': '3.1'}]","[{'Imm.': '24', 'Rob.': '14', 'Foc.': '31', 'Vit.': '20', 'Poi.': '4'}]",3.0,,"After defeating Mohg, the Omen, open the secret passage behind the altar and journey into the mass grave. The full Nomadic Merchant's Set is found behind the first breakable tent you can see. Break the tent by baiting out a Frenzy attack from the Nomad there. [Elden Ring Map here]",5,0
162,Nox Mirrorhelm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_mirrorhelm_elden_ring_wiki_guide_200px.png,"Helm fashioned from a crystal looking-glass. One among the Eternal City's ritual implements. Easily broken and weak against striking attacks. Worn by those committed to high treason, it wards off the intervention of the Greater Will and its vassal Fingers.",helm,"[{'Phy': '4.0', 'VS Str.': '3.4', 'VS Sla.': '5.5', 'VS Pie.': '5.0', 'Mag': '6.7', 'Fir': '5.3', 'Lit': '4.2', 'Hol': '5.3'}]","[{'Imm.': '29', 'Rob.': '33', 'Foc.': '26', 'Vit.': '42', 'Poi.': '6'}]",7.5,,"Cliffbottom Catacombs: In the sealed room, accessible by using a Stonesword Key at the Imp Statue. See it on the Elden Ring Map here.",4,0
163,Nox Monk Hood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_monk_hood_elden_ring_wiki_guide_200px.png,"Silk hood worn by the monks of the Eternal City.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",helm,"[{'Phy': '2.8', 'VS Str.': '3.1', 'VS Sla.': '2.8', 'VS Pie.': '2.5', 'Mag': '4.0', 'Fir': '3.8', 'Lit': '3.8', 'Hol': '3.1'}]","[{'Imm.': '24', 'Rob.': '15', 'Foc.': '18', 'Vit.': '18', 'Poi.': '4'}]",3.0,,"Can be looted from the Nox Priest common enemies in Nokstella, Eternal City.",6,0
164,Nox Monk Hood (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_monk_hood_(altered)_elden_ring_wiki_guide_200px.png,"Hood worn by the monks of the Eternal City.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",helm,"[{'Phy': '2.5', 'VS Str.': '2.8', 'VS Sla.': '2.5', 'VS Pie.': '2.3', 'Mag': '3.8', 'Fir': '3.6', 'Lit': '3.6', 'Hol': '2.8'}]","[{'Imm.': '21', 'Rob.': '12', 'Foc.': '14', 'Vit.': '14', 'Poi.': '3'}]",2.7,,"After completing Boc's Questline, you (or Boc) can alter Nox Monk Hood into Nox Monk Hood (Altered).",6,0
165,Nox Swordstress Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_swordstress_crown_elden_ring_wiki_guide_200px.png,"Crown worn by the swordstresses of the Eternal City.These women are the personal guards of the nightmaidens, and the silk hides their eyes.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",helm,"[{'Phy': '2.8', 'VS Str.': '3.4', 'VS Sla.': '2.8', 'VS Pie.': '3.1', 'Mag': '4.4', 'Fir': '3.6', 'Lit': '4.2', 'Hol': '3.8'}]","[{'Imm.': '24', 'Rob.': '15', 'Foc.': '22', 'Vit.': '22', 'Poi.': '5'}]",3.3,,"Pieces of the Nox Swordstress Set are dropped by Nox Swordstress enemies found in Nokron and Nokstella.Three can be found in relatively close proximity to the Nokstella, Eternal City site of grace. One up the stairs in a side room, and 2 in the river riding giant ants.",6,0
166,Nox Swordstress Crown (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_swordstress_crown_(altered)_elden_ring_wiki_guide_200px.png,"Crown worn by swordstresses of the Eternal City.The silk eye covering is removed, flaunting convention.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",helm,"[{'Phy': '2.3', 'VS Str.': '2.8', 'VS Sla.': '2.3', 'VS Pie.': '2.5', 'Mag': '4.0', 'Fir': '3.1', 'Lit': '3.8', 'Hol': '3.4'}]","[{'Imm.': '21', 'Rob.': '11', 'Foc.': '17', 'Vit.': '17', 'Poi.': '2'}]",2.7,,"After completing Boc's Questline, you (or Boc) can alter Nox Swordstress Crown into Nox Swordstress Crown (Altered).",6,0
167,Octopus Head,http://eldenring.wiki.fextralife.com/file/Elden-Ring/octopus_head_elden_ring_wiki_guide_200px.png,A land octopus whelp worn directly on the head. Has a lingering warmth reminiscent of human skin. Those who can withstand the smell will find its organic elasticity excellent for negating strikes.,helm,"[{'Phy': '3.4', 'VS Str.': '5.4', 'VS Sla.': '2.8', 'VS Pie.': '2.8', 'Mag': '4.0', 'Fir': '3.6', 'Lit': '4.0', 'Hol': '3.8'}]","[{'Imm.': '31', 'Rob.': '14', 'Foc.': '23', 'Vit.': '23', 'Poi.': '5'}]",3.6,,Found by killing Land Octopus or Giant Land OctopusThere are dozens of them south-west of Temple Quarter site of grace,4,0
