id,weapon_id,name,image,weight,description,dlc,requirements,damage type,category,passive effect,skill,FP cost
97,98,Maliketh's Black Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/malikeths_black_blade_colossal_swords_elden_ring_wiki_guide_200px.png,22,"Maliketh's black blade which once harbored the power of theRune of Death. A sad shadow of its former glory. After a fragment of Death was stolen on that fateful night,Maliketh bound the blade within his own flesh, such that nonemight ever rob Death again.",0,"{'Str': 34, 'Dex': 12, 'Fai': 20}",Standard,Colossal Swords,No passive effects,Destined Death,40
98,99,Ancient Meteoric Ore Greatsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancient_meteoric_ore_greatsword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,22.0,"One of the treasures of the ruined forges. Greatsword of ancient meteoric ore, ending in a sharp point. Fashioned from an excavated shard of an arrowhead that once was a part of the old gods' arsenal. A capable piercing weapon that excels at thrusting attacks.",1,"{'Str': 35, 'Dex': 10, 'Arc': 19}",Standard/Pierce,Colossal Swords,No passive effects,White Light Charge,10
99,100,Fire Knight's Greatsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_knights_greatsword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,16.0,"Greatsword of the Fire Knights. A long, slender blade that undulates like fire. Blessed with a flame incantation. Further flame imbuement will amplify the effect and greatly increase the armament's power.",1,"{'Str': 22, 'Dex': 18, 'Fai': 12}",Standard/Pierce,Colossal Swords,No passive effects,Stamp (Upward Cut),5
100,101,Greatsword of Radahn (Light),http://eldenring.wiki.fextralife.com/file/Elden-Ring/greatsword_of_radahn_(light)_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,20.0,Greatswords of black steel wielded by Radahn in his youth. A pair of weapons decorated with a lion mane motif. These were in his possession immediately before his triumph over the starsthe swords of a lord who does not rely on physical strength and gravity alone.,1,"{'Str': 32, 'Dex': 24, 'Int': 15}",Standard/Pierce,Colossal Swords,No passive effects,Lightspeed Slash,26
101,102,Greatsword of Radahn (Lord),http://eldenring.wiki.fextralife.com/file/Elden-Ring/greatsword_of_radahn_(lord)_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,19.0,Greatswords of black steel wielded by Radahn in his youth. A pair of weapons decorated with a lion mane motif. These were in his possession immediately before his triumph over the starsthe swords of a lord who does not rely on physical strength and gravity alone.,1,"{'Str': 32, 'Dex': 24, 'Int': 15}",Standard/Pierce,Colossal Swords,No passive effects,Promised Consort,20
102,103,Moonrithyll's Knight Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/troll_knights_sword_colossal_swords_elden_ring_wiki_guide_200px.png,18.0,"Greatsword embedded with a blue glintstone. The favored weapon of the steadfast Carian knight, Moonrithyll. Moonrithyll was the Twin Moon Knight's chamberlain. She was also a friend to the trolls, who served the royal family, and proudly wielded their weapons as she fought arm in arm with her gargantuan comrades.",1,"{'Str': 20, 'Dex': 14, 'Int': 18}",Standard/Pierce,Colossal Swords,No passive effects,Tremendous Phalanx,16
104,105,Rapier,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rapier_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,2.5,"A piercing sword with a sharp, slender blade.In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrust area easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",0,"{'Str': 7, 'Dex': 12}",Standard/Pierce,Thrusting Swords,No passive effects,Impaling Thrust,14
105,106,Estoc,http://eldenring.wiki.fextralife.com/file/Elden-Ring/estoc_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,4.5,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",0,"{'Str': 11, 'Dex': 13}",Standard/Pierce,Thrusting Swords,No passive effects,Impaling Thrust,14
106,107,Noble's Estoc,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nobles_estoc_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"Estoc carried by wandering nobles. Made to be easy to wield. Daubed with gold from tip to tail, it should fetch a good sum.",0,"{'Str': 9, 'Dex': 10}",Standard/Pierce,Thrusting Swords,No passive effects,Impaling Thrust,9
107,108,Cleanrot Knight's Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cleanrot_knight's_sword_elden_ring_wiki_guide_200px.png,4,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long- handled armament.",0,"{'Str': 11, 'Dex': 13}",Standard/Pierce,Thrusting Swords,No passive effects,Impaling Thrust,9
108,109,Rogier's Rapier,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rogiers_rapier_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"Piercing sword of superior quality, featuring intricate ornamentation. Signature weapon of the sorcerer Rogier. High dexterity is required to wield the blade to its full potential, but mastery is a sight to behold, characterized by a flowing style which excels in successive attacks.",0,"{'Str': 8, 'Dex': 17}",Standard/Pierce,Thrusting Swords,No passive effects,Repeating Thrust,10
109,110,Antspur Rapier,http://eldenring.wiki.fextralife.com/file/Elden-Ring/antspur_rapier_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,3.0,"Spur of a giant ant which has been fashioned into a rapier. The blade drips with scarlet rot. Scarlet rot is an old legend, of which Maleigh Marais of the Shaded Castle was a private believer. And indeed, he eventually found his own personal goddess.",0,"{'Str': 10, 'Dex': 20}",Standard/Pierce,Thrusting Swords,(55) Scarlet Rot,Impaling Thrust,14
110,111,Frozen Needle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/frozen_needle_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,2.5,"A razor-thin piercing blade of ice.Forged by Ijii, the carian Royal Blackmith. Can inflict frost upon enemies, and launch its blade with a strong attack. The blade immediately regenerates.",0,"{'Str': 11, 'Dex': 18}",Standard/Pierce,Thrusting Swords,(60) Frostbite,Impaling Thrust,14
111,112,Carian Sorcery Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_sorcery_sword_thrusting_sword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,2.5,"One of the Carian royal family's glintstone swords. A smaller piercing sword with a slender blade. Formerly used by the Carian knights of old before the full refinement of their sorcerous combat techniques, this armament functions as a catalyst for glintstone sorcery when executing strong attacks.",1,"{'Str': 10, 'Dex': 19, 'Int': 16}",Standard/Pierce,Thrusting Swords,No passive effects,Impaling Thrust,9
112,113,Great Epee,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_epee_heavy_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,6.5,"Large rapier featuring a thin, sharp blade. Commonly used in life or death duels.Like its smaller counterparts, its made for thrusting attacks, and can be used while guarding with a shield.",0,"{'Str': 15, 'Dex': 16}",Standard/Pierce,Heavy Thrusting Swords,No passive effects,Impaling Thrust,9
113,114,Godskin Stitcher,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godskin_stitcher_heavy_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,7.0,"Elegant piercing sword with a celadon colored blade wielded by Godskin Nobles. The nobles possess skill with the sword unmatched by any lowborn. Despite its size, successive attacks from this weapon are swifter than the eye can follow.",0,"{'Str': 14, 'Dex': 17}",Standard/Pierce,Heavy Thrusting Swords,No passive effects,Impaling Thrust,9
114,115,Bloody Helice,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloody_helice_heavy_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,8.0,"Ominous piercing sword with a winding blade. Carried by the noble servants of the Lord of Blood. Designed to bore into flesh, causing severe blood loss at the wound. The extracted blood trickles gracefully down the length of the blade.",0,"{'Str': 16, 'Dex': 19, 'Arc': 17}",Standard/Pierce,Heavy Thrusting Swords,(55) Hemorrhage,Dynast's Finesse,5 ( -7)
115,116,Dragon King's Cragblade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragon_kings_cragblade_heavy_thrusting_sword_weapon_elden_ring_wiki_guide_200px.png,8,"Piercing Gravel Stone sword containing primeval lightning. A portion of the Dragonlord's power, gained from a remembrance. This weapon commands great power over the paltry, mortal dragons of today.",0,"{'Str': 18, 'Dex': 37}",Standard/Pierce,Heavy Thrusting Swords,No passive effects,Thundercloud Form,28
116,117,Queelign's Greatsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/queeligns_greatsword_heavy_thrusting_sword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,7.5,"Greatsword of the Fire Knight Queelign. A weighty piercing sword with a blade that undulates like fire. Queelign devoted his all to the crusade, and remade his greatsword in the shape of the lance wielded by his liegeaspiring to become a second Impaler.",1,"{'Str': 14, 'Dex': 18, 'Fai': 12}",Standard/Pierce,Heavy Thrusting Swords,No passive effects,Impaling Thrust,9
117,118,Sword Lance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sword_lance_heavy_thrusting_sword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,9.0,"Weapon once wielded by Commander Gaius. A combination of greatsword and lance. Weighty and capable of being brought to bear with great force, this armament shows its true potential when used astride a mount. Gaius himself was never without his boar.",1,"{'Str': 21, 'Dex': 11}",Standard/Pierce,Heavy Thrusting Swords,No passive effects,Impaling Thrust,9
118,119,Scimitar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scimitar_curved_sword_weapon_elden_ring_wiki_guide_200px.png,3.0,"A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against armor and hides covered in tough scales. Smaller in size than most curved swords, it carves into enemies with quick, sharp cuts.",0,"{'Str': 7, 'Dex': 13}",Slash,Curved Swords,No passive effects,Spinning Slash,6 (- 12)
119,120,Falchion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/falchion_curved_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales. Wielders of the weapon employ a unique style that enhances attacks with spinning motions.",0,"{'Str': 9, 'Dex': 13}",Slash,Curved Swords,No passive effects,Spinning Slash,6 ( -12)
120,121,Shamshir,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shamshir_curved_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",0,"{'Str': 7, 'Dex': 13}",Slash,Curved Swords,No passive effects,Spinning Slash,6 ( - 12)
121,122,Grossmesser,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grossmesser_curved_sword_weapon_elden_ring_wiki_guide_200px.png,4.5,Curved sword boasting a large blade. This weapon is designed to make use of its weight in combination with its sharp cutting edge. A thoroughly reliable choice of weapon for those who can master its particulars.,0,"{'Str': 14, 'Dex': 12}",Slash,Curved Swords,No passive effects,Spinning Slash,6 ( - 12)
122,123,Bandit's Curved Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bandits_curved_sword_curved_sword_weapon_elden_ring_wiki_guide_200px.png,5.0,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",0,"{'Str': 11, 'Dex': 13}",Slash,Curved Swords,No passive effects,Spinning Slash,6 ( - 12)
123,124,Shotel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shotel_curved_sword_weapon_elden_ring_wiki_guide_200px.png,2.0,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield efficiently.",0,"{'Str': 9, 'Dex': 19}",Slash,Curved Swords,No passive effects,Spinning Slash,6 (-12)
124,125,Scavenger's Curved Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scavengers_curved_sword_curved_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"Unique curved sword, notched like shark's teeth. Weapon carried by corpse pillagers who prowl the sites of old battles. The blade is tacky with blood and covered in hefty nicks, making it totally uneven. Life can be sinister indeed.",0,"{'Str': 9, 'Dex': 14}",Slash,Curved Swords,(45) Hemorrhage,Spinning Slash,6 (- 12)
125,126,Mantis Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mantis_blade_curved_sword_weapon_elden_ring_wiki_guide_200px.png,4.0,"A curved sword with a blade at both ends wielded by the Cemetery Shades, the insect-ridden grave keepers. The blade is thin and sharp, and strong attack unleashes a far-reaching slash.",0,"{'Str': 10, 'Dex': 12}",Slash,Curved Swords,No passive effects,Spinning Slash,6 ( - 12)
126,127,Beastman's Curved Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/beastmans_curved_sword_elden_ring_wiki_guide_200px.png,4,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,0,"{'Str': 13, 'Dex': 11}",Slash,Curved Swords,No passive effects,Spinning Slash,6 ( - 12)
127,128,Flowing Curved Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flowing_curved_sword_curved_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend. Skill: Spinning Slash Skill favored by dexterous warriors. Slash foes as your body spins. Additional input allows for a follow-up attack.",0,"{'Str': 9, 'Dex': 17}",Slash,Curved Swords,No passive effects,Spinning Slash,6 ( - 12)
128,129,Serpent-God's Curved Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/serpent-god's_curved_sword_elden_ring_wiki_guide_200px.png,4,"Curved sword fashioned in the image of an ancient serpent deity and tool of a forgotten religion practiced on Mt. Gelmir. Formerly used to offer up sacrifices, this sword restores HP upon slaying an enemy.",0,"{'Str': 13, 'Dex': 9}",Slash,Curved Swords,No passive effects,Spinning Slash,6 ( - 12)
129,130,Magma Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magma_blade_curved_sword_weapon_elden_ring_wiki_guide_200px.png,4,"Curved sword with a blade fashioned from the lava of Mt. Gelmir. An armament of the man-serpents, impossible for a human to have made. Deals fire damage.",0,"{'Str': 9, 'Dex': 15, 'Fai': 16}",Slash,Curved Swords,No passive effects,Magma Shower,12
130,131,Nox Flowing Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_flowing_sword_curved_sword_elden_ring_wiki_guide_200px.png,3.5,"A grim weapon wielded by swordsmen of the Eternal City, thisshotel has a blade as fine as a needle. Forged from the liquid metal of a Silver Tear, it is thoroughlytempered until hardened",0,"{'Str': 8, 'Dex': 15}",Slash,Curved Swords,No passive effects,Flowing Form,9
131,132,Wing of Astel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/wing_of_astel_curved_sword_weapon_elden_ring_wiki_guide_200px.png,2.5,"Sword fashioned from a delicate wing, suffused with the magic ofthe stars.Strong attack unleashes a wave of enchanted light. Crafted from a relic of the Naturalborn of the Void who is said tohave assailed the Eternal City.",0,"{'Str': 7, 'Dex': 17, 'Int': 20}",Slash,Curved Swords,No passive effects,Nebula,20
132,133,Eclipse Shotel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/eclipse_shotel_curved_sword_weapon_elden_ring_wiki_guide_200px.png,3.0,"Storied sword and treasure of Castle Sol that depicts an eclipsed sun drained of color. One of the legendary armaments. In Sol, the sight of an eclipse inspires a dreadful awe, preventing an onlooker from averting his gaze.",0,"{'Str': 10, 'Dex': 25, 'Fai': 30}",Slash,Curved Swords,No passive effects,Death Flare,16 ( -16)
133,134,Spirit Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spirit_sword_1_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,2.5,Sharp blade sculpted into a twisted shape. A sword that has seen many years of use in the gravesite. Said to serve as a medium for communion with spirits.,1,"{'Str': 8, 'Dex': 16, 'Int': 16}",Slash,Curved Swords,No passive effects,Rancor Slash,12
134,135,Falx,http://eldenring.wiki.fextralife.com/file/Elden-Ring/falx_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,4.0,"Curved swords with long, sickle-like blades. A pair of weapons made to be wielded in both hands. Forged by a hornsent in the name of revenge. ""In vengeance for the flames, my blade I wield...""",1,"{'Str': 12, 'Dex': 15}",Slash,Curved Swords,(55) Hemorrhage,Revenger's Blade,15
135,136,Dancing Blade of Ranah,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dancing_blade_of_ranah_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,3.5,Decorative swords ablaze with impassioned red. A pair of weapons made to be wielded in both hands. Used by the dancers of Ranah. Strikes enemies with a dancing assault when executing a strong attack.,1,"{'Str': 9, 'Dex': 20}",Slash,Curved Swords,No passive effects,Unending Dance,2
136,137,Horned Warrior's Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/horned_warriors_sword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,5.0,"Curved sword of the horned warriors, keepers of the tower. The ornamental tangled horns allow the blade to serve as a medium for horn-calling.",1,"{'Str': 11, 'Dex': 14, 'Faith': 14}",Slash,Curved Swords,No passive effects,Horn Calling,17
137,138,Dismounter,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dismounter_curved_greatsword_weapon_elden_ring_wiki_guide_200px.png,10.0,"This curved greatsword wielded by the brawny sellswords of Kaiden combines the blades of a scimitar with the heft of a hatchet. A difficult to handle weapon that demands much of the wielder's strength and dexterity, but with practice and ability, it can serve as a versatile weapon even on horseback.",0,"{'Str': 19, 'Dex': 16}",Slash,Curved Greatswords,No passive effects,Spinning Slash,6 ( -12)
138,139,Omen Cleaver,http://eldenring.wiki.fextralife.com/file/Elden-Ring/omen_cleaver_curved_greatsword_weapon_elden_ring_wiki_guide_200px.png,11.5,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength. The pattern etched upon the blade is the remnant of a deteriorating malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",0,"{'Str': 19, 'Dex': 16}",Slash,Curved Greatswords,No passive effects,Spinning Slash,6 ( -12)
139,140,Monk's Flameblade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/monks_flameblade_elden_ring_wiki_guide_200px.png,9.0,Curved sword with a flickering flame motif. Wielded by the Fire Monks who came from the Mountaintops of the Giants. The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.,0,"{'Str': 18, 'Dex': 18}",Slash,Curved Greatswords,No passive effects,Spinning Slash,6 ( -12)
140,141,Beastman's Cleaver,http://eldenring.wiki.fextralife.com/file/Elden-Ring/beastmans_cleaver_elden_ring_wiki_guide_200px.png,16.5,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",0,"{'Str': 25, 'Dex': 14}",Slash,Curved Greatswords,No passive effects,Spinning Slash,6 (-12)
141,142,Bloodhound's Fang,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodhounds_fang_curved_greatsword_weapon_elden_ring_wiki_guide_200px.png,11.5,Curved greatsword with a gently undulating blade wielded by Bloodhound Knights. A fearsome blade capable of brutal airborne attacks.,0,"{'Str': 18, 'Dex': 17}",Slash,Curved Greatswords,(55) Hemorrhage,Bloodhound's Finesse,8 ( - 12)
142,143,Onyx Lord's Greatsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/onyx_lords_greatsword_curved_greatsword_weapon_elden_ring_wiki_guide_200px.png,11.5,"Greatsword forged from golden-hued meteoric ore. The blade conceals gravity-manipulating magic. A weapon unique to the Onyx Lords, a race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago.",0,"{'Str': 20, 'Dex': 16, 'Int': 16}",Slash,Curved Greatswords,No passive effects,Onyx Lord's Repulsion,27
143,144,Zamor Curved Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/zamor_curved_sword_curved_greatsword_weapon_elden_ring_wiki_guide_200px.png,9.0,"Weapon wielded by the knights of Zamor who earned greatrenown during the War against the Giants. In apparent devotion to winter, the curved blade is styled after anicy wind and imbued with a powerful frost effect.",0,"{'Str': 16, 'Dex': 18}",Slash,Curved Greatswords,(65) Frostbite,Zamor Ice Storm,15
144,145,Magma Wyrm's Scalesword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magma_wyrms_scalesword_curved_greatsword_weapon_elden_ring_wiki_guide_200px.png,15.0,"Curved greatsword wielded by Magma Wyrms. The shape resembles a dragon's jaw and is covered in hard scales. It's said these land-bound dragons were once human heroes who partook in dragon communion, a grave transgression for which they were cursed to crawl the earth upon their bellies, shadows of their former selves.",0,"{'Str': 24, 'Dex': 15, 'Fai': 18}",Slash,Curved Greatswords,No passive effects,Magma Guillotine,20 ( - 10)
145,146,Morgott's Cursed Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/morgotts_cursed_sword_curved_greatsword_weapon_elden_ring_wiki_guide_200px.png,7.5,"Warped blade of shifting hue used by Morgott, the Omen King. The accused blood that Morgott recanted and sealed away reformed into this blade.",0,"{'Str': 14, 'Dex': 35, 'Arc': 17}",Slash,Curved Greatswords,(60) Hemorrhage,Cursed-Blood Slice,20 (- 20)
146,147,Horned Warrior's Greatsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/horned_warriors_greatsword_curved_greatsword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,13.0,"Curved greatsword of the horned warriors, keepers of the tower. A heavy weapon made to bring the deft strength of the warriors to bear. The ornamental tangled horns allow the blade to serve as a medium for horn-calling.",1,"{'Str': 19, 'Dex': 16, 'Fai': 13}",Slash,Curved Greatswords,No passive effects,Horn Calling: Storm,22
147,148,Freyja's Greatsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/freyjas_greatsword_greatsword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,14.0,"Weapon of Freyja, a Redmane. Greatsword decorated with a mane, much like the weapons used by her liege. The spirit of Freyja's training lingers in this sword, enhancing the power of Redmane battle skills.",1,"{'Str': 25, 'Dex': 14}",Slash,Curved Greatswords,No passive effects,Spinning Slash,6
148,149,Uchigatana,http://eldenring.wiki.fextralife.com/file/Elden-Ring/uchigatana_elden_ring_wiki_guide_200px.png,5.5,"A katana with a long single-edged curved blade. A unique weapon wielded by the samurai from the Land of Reeds. The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",0,"{'Str': 11, 'Dex': 15}",Slash/Pierce,Katanas,(45) Hemorrhage,Unsheathe,-(10 15)
149,150,Nagakiba,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nagakiba_katana_weapon_elden_ring_wiki_guide_200px.png,7,"Katana with a ferociously long blade.Signature weapon of Yura, hunter of Bloody Fingers. Reminiscent of a reinforced spear, its imposing length can be put to good use with powerful thrusting attacks.",0,"{'Str': 18, 'Dex': 22}",Slash/Pierce,Katanas,(45) Hemorrhage,Unsheathe,0 (10 -15)
150,151,Serpentbone Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/serpentbone_blade_katana_weapon_elden_ring_wiki_guide_200px.png,6,Sinister katana modeled after a serpent bone. The densely packed row of spines that jut away from the cutting edge are coated in a lethal poison.,0,"{'Str': 11, 'Dex': 22}",Slash/Pierce,Katanas,(66) Poison,Double Slash,6 ( - 3)
151,152,Meteoric Ore Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/meteoric_ore_blade_katana_weapon_elden_ring_wiki_guide_200px.png,7.5,"Katana forged from meteoric ore to dispatch lifeforms born of falling stars.Deals magic damage.The blade is weighty, known to deliver slashes of such ferocity that the impact is said to resemble the crash of a falling meteor.",0,"{'Str': 15, 'Dex': 14, 'Int': 18}",Slash/Pierce,Katanas,(50) Hemorrhage,Gravitas,13
152,153,Moonveil,http://eldenring.wiki.fextralife.com/file/Elden-Ring/moonveil_katana_weapon_elden_ring_wiki_guide_200px.png,6.5,"Katana forged of glintstone.Masterpiece of a Sellian swordsmith. Light enwreathes the blade when sheathed, explaining its Moonveil moniker.",0,"{'Str': 12, 'Dex': 18, 'Int': 23}",Slash/Pierce,Katanas,(50) Hemorrhage,Transient Moonlight,- (15 20)
153,154,Rivers of Blood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rivers_of_blood_katana_weapon_elden_ring_wiki_guide_200px.png,6.5,"Weapon of Okina, swordsman from the Land of Reeds.A cursed weapon that has felled countless men. When Mohg, the Lord of Blood, first felt Okina's sword, and madness, upon his flesh, he had a proposal, to offer Okina the life of a demon, whose thirst would never go unsated.",0,"{'Str': 12, 'Dex': 18, 'Arc': 20}",Slash/Pierce,Katanas,(50) Hemorrhage,Corpse Piler,17
154,155,Dragonscale Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragonscale_blade_katana_weapon_elden_ring_wiki_guide_200px.png,5.5,"A weapon made by sharpening a Gravel Stone scale, thought to be the source of ancient dragon immortality, into an unclouded blade. Alas, the Dragonkin Soldiers never attained immortality, and perished as decrepit, pale imitations of their skyborn kin.",0,"{'Str': 12, 'Dex': 20}",Slash/Pierce,Katanas,No passive effects,Ice Lightning Sword,25
155,156,Hand of Malenia,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hand_of_malenia_katana_weapon_elden_ring_wiki_guide_200px.png,7.0,Blade built into Malenia's prosthetic arm. Through consecration it is resistant to rot. Malenia's war prosthesis symbolized her victories. Some claim to have seen wings when the weapon was raised aloft; wings of fierce determination that have never known defeat.,0,"{'Str': 16, 'Dex': 48}",Slash/Pierce,Katanas,(50) Hemorrhage,Waterfowl Dance,12 ( - 9)
156,157,Star-Lined Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/star-lined_sword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,5.0,"Sword encrusted with a line of stars fashioned from small pieces of crude glintstone. Weapon of the demi-human swordsmen. When bestowed with this weapon by their queen, the swordsmen swear to find the truth that lies at the end of the procession of stars.",1,"{'Str': 10, 'Dex': 23, 'Int': 21}",Slash/Pierce,Katanas,(45),Onze's Line of Stars,10
157,158,Sword of Night,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sword_of_night_katana_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,6.5,"Sword of an all-consuming, bottomless black that devours even the light that shines upon it. Wielded by Jolan, Swordhand of Night. The blade of the sword is only semicorporeal, and thus cannot be guarded against completely.",1,"{'Str': 11, 'Dex': 20}",Slash/Pierce,Katanas,(45) Hemorrhage,Witching Hour Slash,21
158,159,Twinblade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/twinblade_twinblade_weapon_elden_ring_wiki_guide_200px.png,7.0,"A sword with blades on both sides of the hilt.This weapon is difficult to wield, and requires high dexterity. Can be wielded with a single hand, but its true strength is enabled with dual-handed spinning attacks.",0,"{'Str': 10, 'Dex': 18}",Standard/Pierce,Twinblades,No passive effects,Spinning Slash,6 ( - 12)
159,160,Twinned Knight Swords,http://eldenring.wiki.fextralife.com/file/Elden-Ring/twinned_knight_swords_twinblade_weapon_elden_ring_wiki_guide_200px.png,8.0,"An attractive twinblade of fine make that prizes the chivalric way. Can be wielded with a single hand, but its true strength is unlocked with dual-handed spinning attacks.",0,"{'Str': 16, 'Dex': 18}",Standard/Pierce,Twinblades,No passive effects,Spinning Slash,6 ( - 12)
